text
"b""#Alabama lawmakers have passed the nation's most restrictive ban on #abortion, with no exception for rape or incest\xe2\x80\xa6 https://t.co/KdJBgbuAVH"""
"b'""#Alabama Lawmakers Vote to Effectively Ban Abortion in the State"" https://t.co/gNCUWcFtdZ #Abortion #SafeAbortion'"
"b""#Alabama Senate passes nation's most restrictive #abortion ban - May 14 @ 11:30 PM ET  https://t.co/fdjxh9EwpH"""
"b""#Alabama, I'm ashamed of you. How can you possibly let #men only decide when a woman is allowed to get an #abortion\xe2\x80\xa6 https://t.co/2tqwKkuS3x"""
"b""#Alabama's got the right idea! The #babykillers should defend their #Bloodlust in court. Millions of new citizens a\xe2\x80\xa6 https://t.co/sFtp4bIiMX"""
"b""#Judge rescinds ruling against 'physicians-only' #abortion #law - May 14 @ 5:15 PM ET  https://t.co/Tna9CnDudP"""
"b""25 men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in Alabama. Men should not be voting on women's health issue\xe2\x80\xa6 https://t.co/zvi5ZnvkX6"""
"b""Alabama has passed the most restrictive #abortion ban in the country. I grew up in Alabama, so this doesn't shock m\xe2\x80\xa6 https://t.co/yiWeFC13eI"""
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @BryanKemper: To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a #GenX h\xe2\x80\xa6'
b'RT @chitaskforce: #ICYMI: These 25 Republicans \xe2\x80\x93 all white men \xe2\x80\x93 just voted to ban #abortion in Alabama \n\nhttps://t.co/raOMASjwpr'
b'RT @claytoonz: This cartoon might push a few buttons. https://t.co/QYFzTyaCia #georgiaabortionban #abortion #abortionban #prochoice #fetalh\xe2\x80\xa6'
b'RT @claytoonz: This cartoon might push a few buttons. https://t.co/QYFzTyaCia #georgiaabortionban #abortion #abortionban #prochoice #fetalh\xe2\x80\xa6'
"b'RT @CREDOMobile: This is unacceptable. #WomensHealth should be central to any discussion about #abortion, #reprorights, and #ReproductiveJu\xe2\x80\xa6'"
b'RT @DawnLlewellyn: This should not be happening. Anywhere. There is no debate. There is no justification. There is no explanation. If women\xe2\x80\xa6'
b'RT @DawnLlewellyn: This should not be happening. Anywhere. There is no debate. There is no justification. There is no explanation. If women\xe2\x80\xa6'
b'RT @DawnLlewellyn: This should not be happening. Anywhere. There is no debate. There is no justification. There is no explanation. If women\xe2\x80\xa6'
b'RT @DawnLlewellyn: This should not be happening. Anywhere. There is no debate. There is no justification. There is no explanation. If women\xe2\x80\xa6'
b'RT @DawnLlewellyn: This should not be happening. Anywhere. There is no debate. There is no justification. There is no explanation. If women\xe2\x80\xa6'
b'RT @DawnLlewellyn: This should not be happening. Anywhere. There is no debate. There is no justification. There is no explanation. If women\xe2\x80\xa6'
b'RT @DawnLlewellyn: This should not be happening. Anywhere. There is no debate. There is no justification. There is no explanation. If women\xe2\x80\xa6'
b'RT @DeeptiSharma1: Holy F***ing shit! Alabama Lawmakers Vote to Effectively Ban #Abortion in the State https://t.co/SV9SNxFukh @nytimes #My\xe2\x80\xa6'
"b'RT @denisemourges: #Talibama. Alabama Senate passes nation\xe2\x80\x99s most restrictive #abortion ban, which makes no exceptions for victims of #rape\xe2\x80\xa6'"
"b'RT @denisemourges: #Talibama. Alabama Senate passes nation\xe2\x80\x99s most restrictive #abortion ban, which makes no exceptions for victims of #rape\xe2\x80\xa6'"
"b'RT @denisemourges: #Talibama. Alabama Senate passes nation\xe2\x80\x99s most restrictive #abortion ban, which makes no exceptions for victims of #rape\xe2\x80\xa6'"
"b'RT @denisemourges: #Talibama. Alabama Senate passes nation\xe2\x80\x99s most restrictive #abortion ban, which makes no exceptions for victims of #rape\xe2\x80\xa6'"
b'RT @DrJCassar: #USA states slowly realizing that #abortion does not solve anything   https://t.co/4d1BcmrAgC'
b'RT @DrJCassar: #USA states slowly realizing that #abortion does not solve anything   https://t.co/4d1BcmrAgC'
"b'RT @geoff2009: #Alabama #abortion ban: Republican senate passes most restrictive law in USA, banning abortion except if there is a \xe2\x80\x98serious\xe2\x80\xa6'"
"b'RT @halfricanchief: Talibama in full effect, ya\xe2\x80\x99ll. Say hello to the \xe2\x80\x98men\xe2\x80\x99 behind this southern sharia sham charade... \xf0\x9f\x98\x90\xf0\x9f\x98\xa1\n \xe2\x81\xa6@PPact\xe2\x81\xa9 #Taliba\xe2\x80\xa6'"
"b'RT @halfricanchief: Talibama in full effect, ya\xe2\x80\x99ll. Say hello to the \xe2\x80\x98men\xe2\x80\x99 behind this southern sharia sham charade... \xf0\x9f\x98\x90\xf0\x9f\x98\xa1\n \xe2\x81\xa6@PPact\xe2\x81\xa9 #Taliba\xe2\x80\xa6'"
"b'RT @halfricanchief: Talibama in full effect, ya\xe2\x80\x99ll. Say hello to the \xe2\x80\x98men\xe2\x80\x99 behind this southern sharia sham charade... \xf0\x9f\x98\x90\xf0\x9f\x98\xa1\n \xe2\x81\xa6@PPact\xe2\x81\xa9 #Taliba\xe2\x80\xa6'"
"b'RT @halfricanchief: Talibama in full effect, ya\xe2\x80\x99ll. Say hello to the \xe2\x80\x98men\xe2\x80\x99 behind this southern sharia sham charade... \xf0\x9f\x98\x90\xf0\x9f\x98\xa1\n \xe2\x81\xa6@PPact\xe2\x81\xa9 #Taliba\xe2\x80\xa6'"
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HelenClarkNZ: #Alabama Republican-dominated state senate passes most restrictive #abortion law in USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 allowing no abortion on ground\xe2\x80\xa6'
b'RT @HilaryBurrage: Extreme #Patriarchy\n\nhttps://t.co/Oh6256PP9k\n\n#FGM #Abortion'
b'RT @hughriminton: Alabama crafts an #abortion law designed to test the will of the US Supreme Court.\nhttps://t.co/4aHuwiiEIn via @NYTimes'
b'RT @hughriminton: Alabama crafts an #abortion law designed to test the will of the US Supreme Court.\nhttps://t.co/4aHuwiiEIn via @NYTimes'
b'RT @IcelandPolitics: #Iceland\xe2\x80\x99s Parliament Passes Landmark #Abortion Law (14 May 2019)\n\nhttps://t.co/4fGsguHTc7'
b'RT @ippandey: Talibans Take Over Alabama: 25 Republicans\xe2\x80\x93all white men\xe2\x80\x93voted to ban abortion in Alabama https://t.co/eSSp28FyVB \xe2\x80\xa6 #Taliban\xe2\x80\xa6'
"b'RT @isthisseattaken: #mustread #must #understand how someone who is #raped , #suffered #incest is now #goingtojail if they #attempt an #abo\xe2\x80\xa6'"
"b'RT @isthisseattaken: #mustread #must #understand how someone who is #raped , #suffered #incest is now #goingtojail if they #attempt an #abo\xe2\x80\xa6'"
b'RT @Joannawalters13: BREAKING NEWS: Alabama #abortion ban: Republican senate passes most restrictive law in US. No exceptions for rape or i\xe2\x80\xa6'
b'RT @JoanneKenen: Alabama Senate approves nation\xe2\x80\x99s strictest abortion ban -latest in a series of state laws aimed squarely at toppling Roe v\xe2\x80\xa6'
b'RT @JoanneKenen: Alabama Senate approves nation\xe2\x80\x99s strictest abortion ban -latest in a series of state laws aimed squarely at toppling Roe v\xe2\x80\xa6'
b'RT @JoanneKenen: Alabama Senate approves nation\xe2\x80\x99s strictest abortion ban -latest in a series of state laws aimed squarely at toppling Roe v\xe2\x80\xa6'
"b'RT @jsaphra: This makes #ChoiceWordsAnthology from @HaymarketBooks, 1st major literary anthology on #abortion even more timely. Please dona\xe2\x80\xa6'"
"b'RT @jsaphra: This makes #ChoiceWordsAnthology from @HaymarketBooks, 1st major literary anthology on #abortion even more timely. Please dona\xe2\x80\xa6'"
b'RT @juliastrasheim: This @guardian image of the 25 senators who decided to make #abortion a crime in #Alabama really says it all. https://t\xe2\x80\xa6'
b'RT @JulikaBrand: am against #abortion as a means of #birthcontrol!\n...but to ban abortion in cases of #rape or #incest is #VAW\xe2\x9d\x97\xef\xb8\x8f\xe2\x9e\xa1\xef\xb8\x8f\nhttps://\xe2\x80\xa6'
b'RT @JulikaBrand: am against #abortion as a means of #birthcontrol!\n...but to ban abortion in cases of #rape or #incest is #VAW\xe2\x9d\x97\xef\xb8\x8f\xe2\x9e\xa1\xef\xb8\x8f\nhttps://\xe2\x80\xa6'
b'RT @JulikaBrand: am against #abortion as a means of #birthcontrol!\n...but to ban abortion in cases of #rape or #incest is #VAW\xe2\x9d\x97\xef\xb8\x8f\xe2\x9e\xa1\xef\xb8\x8f\nhttps://\xe2\x80\xa6'
b'RT @kategreeneditor: A ban on #abortion is nothing \xf0\x9f\x91\x8f but \xf0\x9f\x91\x8f a \xf0\x9f\x91\x8fban \xf0\x9f\x91\x8f on \xf0\x9f\x91\x8f safe \xf0\x9f\x91\x8fabortion. This unforgivable #humanrights violation in #Alaba\xe2\x80\xa6'
"b'RT @KellyBaden: ""Because if we\xe2\x80\x99re going to make laws around biology \xe2\x80\x94 about whether tampons should be taxed, or whether #abortion should ha\xe2\x80\xa6'"
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MakeHerstory1: BREAKING: 25 exclusively white male politicians have imposed a blanket ban on #abortion in the US state of Alabama. What\xe2\x80\xa6'
b'RT @MASAHITOSATO1: Alabama just passed a near-total abortion ban\nNo exceptions for rape and incest.\n#abortion\n#Alabama\nhttps://t.co/Hbcogzo\xe2\x80\xa6'
b'RT @MayaRockeymoore: Alabama Senate forces daughters to carry their fathers\xe2\x80\x99 babies to term; punishes girls who are the victims of incest a\xe2\x80\xa6'
"b'RT @MisterToxicMan: This idiot from the other side of my state shows where the dems are headed, rather than being what he promised voters,\xe2\x80\xa6'"
"b'RT @MzzWish: #Alabama Senate passes nation\xe2\x80\x99s most restrictive #abortion #ban, which makes no exceptions for victims of rape and incest http\xe2\x80\xa6'"
b'RT @Newsbook_com_mt: \xe2\x80\x9cI am against abortion\xe2\x80\x9d \xe2\x80\x93 Anthony Buttigieg @AnthButtigiegPD @Demokratiku #abortion https://t.co/cJ8bBuxE14'
"b'RT @NPWF: Last night, the #AlabamaSenate passed a near-total #abortion ban in a 25 to 6 vote, which provides no exceptions for rape or ince\xe2\x80\xa6'"
"b'RT @NPWF: Last night, the #AlabamaSenate passed a near-total #abortion ban in a 25 to 6 vote, which provides no exceptions for rape or ince\xe2\x80\xa6'"
"b'RT @NPWF: Last night, the #AlabamaSenate passed a near-total #abortion ban in a 25 to 6 vote, which provides no exceptions for rape or ince\xe2\x80\xa6'"
"b'RT @NPWF: Last night, the #AlabamaSenate passed a near-total #abortion ban in a 25 to 6 vote, which provides no exceptions for rape or ince\xe2\x80\xa6'"
"b'RT @NPWF: Last night, the #AlabamaSenate passed a near-total #abortion ban in a 25 to 6 vote, which provides no exceptions for rape or ince\xe2\x80\xa6'"
b'RT @NYapologetics: It is almost like they are starting to realize that #abortion means putting a child to death. https://t.co/dhAL5pUeuf #P\xe2\x80\xa6'
b'RT @NYapologetics: It is almost like they are starting to realize that #abortion means putting a child to death. https://t.co/dhAL5pUeuf #P\xe2\x80\xa6'
b'RT @ohyeahfranzi: Good morning to everybody except those #Alabama state senators who voted to ban #abortion.\n\nhttps://t.co/3CljwOW4Qk\n#Abor\xe2\x80\xa6'
"b'RT @oneoflokis: Tennessee Pastor Who Repeatedly Raped Daughter,14,Gets Light Sentence Because Jesus https://t.co/PtA1vuv2XQ via @pdxprogres\xe2\x80\xa6'"
"b'RT @oneoflokis: Tennessee Pastor Who Repeatedly Raped Daughter,14,Gets Light Sentence Because Jesus https://t.co/PtA1vuv2XQ via @pdxprogres\xe2\x80\xa6'"
"b'RT @oneoflokis: Tennessee Pastor Who Repeatedly Raped Daughter,14,Gets Light Sentence Because Jesus https://t.co/PtA1vuv2XQ via @pdxprogres\xe2\x80\xa6'"
"b'RT @palmboy4444: These 25 #white #men, all #Republican, just banned #abortion in #Alabama\n\nWe need more #women, &amp; decent compassionate men,\xe2\x80\xa6'"
"b'RT @picardonhealth: Alabama Lawmakers Vote to Effectively Ban #Abortion, A Direct Challenge to Landmark Roe v Wade Ruling https://t.co/vckM\xe2\x80\xa6'"
"b'RT @picardonhealth: Could #abortion become illegal in America? All signs point to yes, by @BJessieHill  https://t.co/IrFsgXuePi via @guardi\xe2\x80\xa6'"
"b'RT @picardonhealth: Could #abortion become illegal in America? All signs point to yes, by @BJessieHill  https://t.co/IrFsgXuePi via @guardi\xe2\x80\xa6'"
"b'RT @picardonhealth: Could #abortion become illegal in America? All signs point to yes, by @BJessieHill  https://t.co/IrFsgXuePi via @guardi\xe2\x80\xa6'"
"b'RT @picardonhealth: Could #abortion become illegal in America? All signs point to yes, by @BJessieHill  https://t.co/IrFsgXuePi via @guardi\xe2\x80\xa6'"
"b'RT @picardonhealth: Could #abortion become illegal in America? All signs point to yes, by @BJessieHill  https://t.co/IrFsgXuePi via @guardi\xe2\x80\xa6'"
b'RT @PJvanEgg: A near-total ban on #abortion. No exception for rape nor incest. Voted through by middle aged men. Welcome to Alabama. #SRHR\xe2\x80\xa6'
"b'RT @PPNorCalAction: #Alabama just passed a near-total #Abortion ban with no exceptions for rape or incest, making it the most restrictive a\xe2\x80\xa6'"
"b'RT @PPTXVotes: LET\xe2\x80\x99S BE CLEAR: This #abortion ban is part of the relentless, coordinated attack by extreme politicians to overthrow Roe v.\xe2\x80\xa6'"
"b'RT @PPTXVotes: LET\xe2\x80\x99S BE CLEAR: This #abortion ban is part of the relentless, coordinated attack by extreme politicians to overthrow Roe v.\xe2\x80\xa6'"
"b'RT @PPTXVotes: LET\xe2\x80\x99S BE CLEAR: This #abortion ban is part of the relentless, coordinated attack by extreme politicians to overthrow Roe v.\xe2\x80\xa6'"
"b'RT @PPTXVotes: LET\xe2\x80\x99S BE CLEAR: This #abortion ban is part of the relentless, coordinated attack by extreme politicians to overthrow Roe v.\xe2\x80\xa6'"
"b'RT @PPTXVotes: LET\xe2\x80\x99S BE CLEAR: This #abortion ban is part of the relentless, coordinated attack by extreme politicians to overthrow Roe v.\xe2\x80\xa6'"
b'RT @robertropars: Could #abortion become illegal in America? All signs point to yes.\n\nAmerica is facing a full-frontal attack on Roe v Wade\xe2\x80\xa6'
b'RT @robertropars: Revealed: nine more US states considering hardline anti-#abortion bills.\n\nLegislation is being pushed by high-profile con\xe2\x80\xa6'
b'RT @robertropars: Then I guess child support starts at conception...\n\n#Alabama: Republican senate passes near-total #abortion ban.\n\nLaw ban\xe2\x80\xa6'
b'RT @Safe_Abortion: Sad news from #Alabama #USA #abortion #abortionrights https://t.co/4AmGguEiP4'
b'RT @Safe_Abortion: Sad news from #Alabama #USA #abortion #abortionrights https://t.co/4AmGguEiP4'
b'RT @socofstseb: #PROLIFE Victory in Rhode Island! Prayers of thanksgiving! The radical #abortion bill has been defeated! @LifeNewsHQ https:\xe2\x80\xa6'
b'RT @socofstseb: #PROLIFE Victory in Rhode Island! Prayers of thanksgiving! The radical #abortion bill has been defeated! @LifeNewsHQ https:\xe2\x80\xa6'
b'RT @socofstseb: #PROLIFE Victory in Rhode Island! Prayers of thanksgiving! The radical #abortion bill has been defeated! @LifeNewsHQ https:\xe2\x80\xa6'
"b'RT @socofstseb: Again, prayers that Vermont Gov. Scott will veto this horrendous bill! #Abortion is neither healthcare nor a right! @VtRigh\xe2\x80\xa6'"
"b'RT @socofstseb: Again, prayers that Vermont Gov. Scott will veto this horrendous bill! #Abortion is neither healthcare nor a right! @VtRigh\xe2\x80\xa6'"
"b'RT @socofstseb: Again, prayers that Vermont Gov. Scott will veto this horrendous bill! #Abortion is neither healthcare nor a right! @VtRigh\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
"b'RT @SoniaAdesara: The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when #abortion is\xe2\x80\xa6'"
